mearth,earth,mercury,moon,0.01_hhe,0.1_hhe,1_hhe,halfwater,allwater,allfe,10_hhe,20_water,10_water,3_water
1.0,6378.139299,5836.44967,7072.528188,9223.168465,14746.171759,,12422.115398000002,16903.65407,4964.570631,,9762.598965230778,8722.455846135761,7853.365165765129
1.00341,6384.039318,5841.813251,7078.908493,9228.531764,14742.361223,,12423.962532,16901.464485,4969.285664,,9766.023626861532,8726.176656811136,7857.29341389148
1.006832,6389.944795,5847.18176,7085.294553,9233.898181,14738.551672,,12425.809941,16899.275183999995,4974.005176,,9769.457604112704,8729.907427094433,7861.23205604821
1.010266,6395.855735,5852.555204,7091.686375,9239.267719,14734.743105,,12427.657625,16897.086166,4978.729169,,9772.900870853522,8733.648126762995,7865.181059232531
1.013712,6401.772142,5857.933585,7098.083963,9244.640379,14730.935522,,12429.505583,16894.897432,4983.457649,,9776.3534009067,8737.398725535613,7869.140390378981
1.0171690000000002,6407.694023,5863.316909,7104.487322,9250.016163,14727.128923,,12431.353816,16892.708981,4988.19062,,9779.814167362543,8741.158106066003,7873.108868911093
1.020638,6413.621381,5868.70518,7110.896458,9255.395074,14723.323308,,12433.202324000002,16890.520814,4992.928086,,9783.284146255157,8744.927326817213,7877.087611115988
1.024118,6419.554223,5874.098403,7117.311375,9260.777112,14719.518677,,12435.051107,16888.332931,4997.670051,,9786.76231220828,8748.70527219004,7881.075438331604
1.027611,6425.492553,5879.496582,7123.73208,9266.16228,14715.715028,,12436.900164,16886.14533,5002.41652,,9790.25063781671,8752.494082916197,7885.074609112012
1.031116,6431.436375,5884.899722,7130.158577,9271.55058,14711.912363,,12438.749497,16883.958013,5007.167497,,9793.748096804533,8756.292642354707,7889.08394365813
1.034632,6437.385696,5890.307827,7136.590872,9276.942012,14708.11068,,12440.599105,16881.77098,5011.922986,,9797.253666104674,8760.09983753748,7893.102266191008
1.038161,6443.340521,5895.720903,7143.028969,9282.33658,14704.309979,,12442.448987,16879.584229,5016.682991,,9800.769313300592,8763.917803435757,7897.131828966258
1.0417010000000002,6449.300854,5901.138952,7149.472874,9287.734285,14700.51026,,12444.299145000003,16877.397762,5021.447518,,9804.293019434968,8767.744345561421,7901.170314762501
1.045254,6455.2667,5906.561981,7155.922593,9293.135129,14696.711524,,12446.149578,16875.211578999995,5026.216569,,9807.82674873299,8771.581595024509,7905.219971613786
1.048819,6461.238065,5911.989994,7162.37813,9298.539113,14692.913769,,12448.000286,16873.025678,5030.990149,,9811.369478773635,8775.428439576006,7909.279624533783
1.052396,6467.214954,5917.422995,7168.83949,9303.94624,14689.116995,,12449.851269,16870.840059999995,5035.768264,,9814.921182901324,8779.284848327767,7913.349239808817
1.055985,6473.197372,5922.860988,7175.30668,9309.356511000002,14685.321203,,12451.702528,16868.654726,5040.550916,,9818.481834418983,8783.15079033858,7917.428783668667
1.059586,6479.185323,5928.303979,7181.779703,9314.769928,14681.526391,,12453.554061,16866.469675,5045.33811,,9822.05140658847,8787.026234614637,7921.51822228709
1.0632,6485.178814,5933.751972,7188.258567,9320.186493,14677.73256,,12455.40587,16864.284906,5050.129851,,9825.630862656884,8790.91222489317,7925.618655857518
1.066826,6491.177849,5939.204972,7194.743275,9325.606207,14673.93971,,12457.257955,16862.100421,5054.926143,,9829.219184112,8794.807653380265,7929.728914275232
1.070464,6497.182433,5944.662982,7201.233833,9331.029073,14670.147839,,12459.110315000002,16859.916218999995,5059.72699,,9832.816344089384,8798.712488920368,7933.848963541697
1.074115,6503.192572,5950.126009,7207.730246,9336.455093,14666.356948,,12460.96295,16857.732299,5064.532397,,9836.423303203872,8802.627772213238,7937.979900532417
